Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Brush application (product.metafields.shopify.brush-application),Chair features (product.metafields.shopify.chair-features),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Handle material (product.metafields.shopify.handle-material),Paint type (product.metafields.shopify.paint-type),Seat type (product.metafields.shopify.seat-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
Adelaide Out Door Stool End Table,,,,,,,,,Medium,,,,,,,,,111253.2783,shopify,deny,manual,776.04,892,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_5.png?v=1745165288,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Adelaide Out Door Stool End Table,,,,,,,,,Large,,,,,,,,,111633.3917,shopify,deny,manual,778.65,895,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_50.png?v=1745165315,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Out Door Stool End Table,Flexsteel Adrian Leather Power Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,112013.5051,shopify,deny,manual,781.26,898,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_51.png?v=1745165317,293,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC916,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Flexsteel Adrian Leather Power Out Door Stool End Table,,,,,,,,,Medium,,,,,,,,,112393.6184,shopify,deny,manual,783.87,901,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_52.png?v=1745165319,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Out Door Stool End Table,,,,,,,,,Large,,,,,,,,,112773.7318,shopify,deny,manual,786.48,904,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_53.png?v=1745165318,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Denver Power Out Door Stool End Table,Denver Power Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,113153.8451,shopify,deny,manual,789.09,907,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_54.png?v=1745165317,296,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC917,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Denver Power Out Door Stool End Table,,,,,,,,,Medium,,,,,,,,,113533.9585,shopify,deny,manual,791.7,910,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_55.png?v=1745165300,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Out Door Stool End Table,Venture Manual Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,113914.0719,shopify,deny,manual,794.31,913,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_56.png?v=1745165318,298,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC918,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Venture Manual Out Door Stool End Table,,,,,,,,,Medium,,,,,,,,,114294.1852,shopify,deny,manual,796.92,916,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_57.png?v=1745165319,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Out Door Stool End Table,,,,,,,,,Large,,,,,,,,,114674.2986,shopify,deny,manual,799.53,919,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_58.png?v=1745165319,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Out Door Stool End Table,Lawrence Power Reclining Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,115054.4119,shopify,deny,manual,802.14,922,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_59.png?v=1745165311,301,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC919,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lawrence Power Reclining Out Door Stool End Table,,,,,,,,,Medium,,,,,,,,,115434.5253,shopify,deny,manual,804.75,925,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_6.png?v=1745165288,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Out Door Stool End Table,,,,,,,,,Large,,,,,,,,,115814.6387,shopify,deny,manual,807.36,928,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_60.png?v=1745165315,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Out Door Stool End Table,,,,,,,,,,,,,,,,,,116194.752,shopify,deny,manual,809.97,931,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_61.png?v=1745165315,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Sarabella Queen Memory Foam Sleeper Out Door Stool End Table,Sarabella Queen Memory Foam Sleeper Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,116574.8654,shopify,deny,manual,812.58,934,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_62.png?v=1745165315,305,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC920,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Sarabella Queen Memory Foam Sleeper Out Door Stool End Table,,,,,,,,,Medium,,,,,,,,,116954.9787,shopify,deny,manual,815.19,937,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_63.png?v=1745165315,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Sarabella Queen Memory Foam Sleeper Out Door Stool End Table,,,,,,,,,Large,,,,,,,,,117335.0921,shopify,deny,manual,817.8,940,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_64.png?v=1745165319,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tulen Reclining Out Door Stool End Table,Tulen Reclining Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,117715.2055,shopify,deny,manual,820.41,943,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_65.png?v=1745165318,308,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC921,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Tulen Reclining Out Door Stool End Table,,,,,,,,,Medium,,,,,,,,,118095.3188,shopify,deny,manual,823.02,946,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_66.png?v=1745165319,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tulen Reclining Out Door Stool End Table,,,,,,,,,Large,,,,,,,,,118475.4322,shopify,deny,manual,825.63,949,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_67.png?v=1745165315,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Solana Power Reclining Out Door Stool End Table,Solana Power Reclining Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,118855.5455,shopify,deny,manual,828.24,952,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_68.png?v=1745165318,311,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC922,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mitchiner Reclining Out Door Stool End Table,Mitchiner Reclining Out Door Stool End Table,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,119235.6589,shopify,deny,manual,830.85,955,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_69.png?v=1745165319,312,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Dark Eucalyptus Stone,Darcy Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,119615.7723,shopify,deny,manual,833.46,958,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_7.png?v=1745165288,313,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,119995.8856,shopify,deny,manual,836.07,961,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_70.png?v=1745165318,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Darcy Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,120375.999,shopify,deny,manual,838.68,964,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_71.png?v=1745165320,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Dark Eucalyptus Stone,Vail Fur Swivel Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,120756.1123,shopify,deny,manual,841.29,967,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_72.png?v=1745165312,316,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC911,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Vail Fur Swivel Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,121136.2257,shopify,deny,manual,843.9,970,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_73.png?v=1745165315,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,121516.3391,shopify,deny,manual,846.51,973,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_74.png?v=1745165319,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Dark Eucalyptus Stone,Lindyn Oversized Swivel Accent Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,121896.4524,shopify,deny,manual,849.12,976,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_75.png?v=1745165319,319,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC912,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lindyn Oversized Swivel Accent Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,122276.5658,shopify,deny,manual,851.73,979,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_76.png?v=1745165318,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,122656.6791,shopify,deny,manual,854.34,982,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_77.png?v=1745165319,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Dark Eucalyptus Stone,Mahoney Chaise Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,123036.7925,shopify,deny,manual,856.95,985,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_78.png?v=1745165319,322,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC913,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mahoney Chaise Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,123416.9059,shopify,deny,manual,859.56,988,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_79.png?v=1745165318,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,123797.0192,shopify,deny,manual,862.17,991,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_8.png?v=1745165302,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Dark Eucalyptus Stone,Karinne Oversized Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,La-Z-Boy,Uncategorized,,,TRUE,Size,Small,,,,,,,,,124177.1326,shopify,deny,manual,864.78,994,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Coffee-Tables_80.png?v=1745165319,325,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC914,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Karinne Oversized Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,124557.246,shopify,deny,manual,867.39,997,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_1.png?v=1745165335,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,124937.3593,shopify,deny,manual,870,1000,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_10.png?v=1745165341,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Dark Eucalyptus Stone,,,,,,,,,,,,,,,,,,125317.4727,shopify,deny,manual,872.61,1003,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_11.png?v=1745165342,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Adelaide Dark Eucalyptus Stone,Adelaide Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,125697.586,shopify,deny,manual,875.22,1006,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_12.png?v=1745165343,329,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC915,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Adelaide Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,126077.6994,shopify,deny,manual,877.83,1009,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_13.png?v=1745165342,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Adelaide Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,126457.8128,shopify,deny,manual,880.44,1012,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_14.png?v=1745165342,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Dark Eucalyptus Stone,Flexsteel Adrian Leather Power Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,West Main Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,126837.9261,shopify,deny,manual,883.05,1015,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_15.png?v=1745165343,332,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC916,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Flexsteel Adrian Leather Power Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,127218.0395,shopify,deny,manual,885.66,1018,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_16.png?v=1745165343,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,127598.1528,shopify,deny,manual,888.27,1021,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_17.png?v=1745165342,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Denver Power Dark Eucalyptus Stone,Denver Power Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,West Main Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,127978.2662,shopify,deny,manual,890.88,1024,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_19.png?v=1745165343,335,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC917,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Denver Power Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,128358.3796,shopify,deny,manual,893.49,1027,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_2.png?v=1745165335,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Dark Eucalyptus Stone,Venture Manual Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,West Main Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,128738.4929,shopify,deny,manual,896.1,1030,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_3.png?v=1745165335,337,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC918,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Venture Manual Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,129118.6063,shopify,deny,manual,898.71,1033,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_4.png?v=1745165336,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,129498.7196,shopify,deny,manual,901.32,1036,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_5.png?v=1745165338,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Dark Eucalyptus Stone,Lawrence Power Reclining Dark Eucalyptus Stone,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,West Main Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,129878.833,shopify,deny,manual,903.93,1039,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_6.png?v=1745165339,340,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC919,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lawrence Power Reclining Dark Eucalyptus Stone,,,,,,,,,Medium,,,,,,,,,130258.9464,shopify,deny,manual,906.54,1042,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_7.png?v=1745165340,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Dark Eucalyptus Stone,,,,,,,,,Large,,,,,,,,,130639.0597,shopify,deny,manual,909.15,1045,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_8.png?v=1745165341,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Dark Eucalyptus Stone,,,,,,,,,,,,,,,,,,131019.1731,shopify,deny,manual,911.76,1048,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-Ottomans_9.png?v=1745165340,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
